benchmark,warmup_iter,iter,name,command,duration,lines,env
linux_literal_default,1,3,rg,rg PM_RESUME,0.11621379852294922,39,
linux_literal_default,1,3,rg,rg PM_RESUME,0.11530232429504395,39,
linux_literal_default,1,3,rg,rg PM_RESUME,0.11500382423400879,39,
linux_literal_default,1,3,ag,ag PM_RESUME,0.5364935398101807,39,
linux_literal_default,1,3,ag,ag PM_RESUME,0.5560696125030518,39,
linux_literal_default,1,3,ag,ag PM_RESUME,0.5661544799804688,39,
linux_literal_default,1,3,git grep,git grep PM_RESUME,0.2449631690979004,39,LC_ALL=en_US.UTF-8
linux_literal_default,1,3,git grep,git grep PM_RESUME,0.24383783340454102,39,LC_ALL=en_US.UTF-8
linux_literal_default,1,3,git grep,git grep PM_RESUME,0.24659943580627441,39,LC_ALL=en_US.UTF-8
linux_literal_default,1,3,ugrep,ugrep -r PM_RESUME ./,0.1699841022491455,39,
linux_literal_default,1,3,ugrep,ugrep -r PM_RESUME ./,0.1968994140625,39,
linux_literal_default,1,3,ugrep,ugrep -r PM_RESUME ./,0.24041128158569336,39,
linux_literal_default,1,3,grep,grep -r PM_RESUME ./,4.499768257141113,39,LC_ALL=en_US.UTF-8
linux_literal_default,1,3,grep,grep -r PM_RESUME ./,4.502712965011597,39,LC_ALL=en_US.UTF-8
linux_literal_default,1,3,grep,grep -r PM_RESUME ./,4.510747671127319,39,LC_ALL=en_US.UTF-8
linux_literal,1,3,rg,rg -n PM_RESUME,0.15857791900634766,39,
linux_literal,1,3,rg,rg -n PM_RESUME,0.15630197525024414,39,
linux_literal,1,3,rg,rg -n PM_RESUME,0.15384197235107422,39,
linux_literal,1,3,rg (mmap),rg -n --mmap PM_RESUME,0.6988320350646973,39,
linux_literal,1,3,rg (mmap),rg -n --mmap PM_RESUME,0.734623908996582,39,
linux_literal,1,3,rg (mmap),rg -n --mmap PM_RESUME,0.720181941986084,39,
linux_literal,1,3,ag (mmap),ag -s PM_RESUME,0.663055419921875,39,
linux_literal,1,3,ag (mmap),ag -s PM_RESUME,0.6625704765319824,39,
linux_literal,1,3,ag (mmap),ag -s PM_RESUME,0.668581485748291,39,
linux_literal,1,3,git grep,git grep -I -n PM_RESUME,0.34888267517089844,39,LC_ALL=C
linux_literal,1,3,git grep,git grep -I -n PM_RESUME,0.3475816249847412,39,LC_ALL=C
linux_literal,1,3,git grep,git grep -I -n PM_RESUME,0.3586452007293701,39,LC_ALL=C
linux_literal,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n PM_RESUME ./,0.36938929557800293,39,
linux_literal,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n PM_RESUME ./,0.3809196949005127,39,
linux_literal,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n PM_RESUME ./,0.4290456771850586,39,
linux_literal_casei,1,3,rg,rg -n -i PM_RESUME,0.19597458839416504,536,
linux_literal_casei,1,3,rg,rg -n -i PM_RESUME,0.18598318099975586,536,
linux_literal_casei,1,3,rg,rg -n -i PM_RESUME,0.1801440715789795,536,
linux_literal_casei,1,3,rg (mmap),rg -n -i --mmap PM_RESUME,0.7505998611450195,536,
linux_literal_casei,1,3,rg (mmap),rg -n -i --mmap PM_RESUME,0.7426550388336182,536,
linux_literal_casei,1,3,rg (mmap),rg -n -i --mmap PM_RESUME,0.7352936267852783,536,
linux_literal_casei,1,3,ag (mmap),ag -i PM_RESUME,0.6213340759277344,536,
linux_literal_casei,1,3,ag (mmap),ag -i PM_RESUME,0.6822230815887451,536,
linux_literal_casei,1,3,ag (mmap),ag -i PM_RESUME,0.6845676898956299,536,
linux_literal_casei,1,3,git grep,git grep -I -n -i PM_RESUME,0.3366377353668213,536,LC_ALL=C
linux_literal_casei,1,3,git grep,git grep -I -n -i PM_RESUME,0.3574845790863037,536,LC_ALL=C
linux_literal_casei,1,3,git grep,git grep -I -n -i PM_RESUME,0.35547399520874023,536,LC_ALL=C
linux_literal_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i PM_RESUME ./,0.4552762508392334,536,
linux_literal_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i PM_RESUME ./,0.4304797649383545,536,
linux_literal_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i PM_RESUME ./,0.45692944526672363,536,
linux_re_literal_suffix,1,3,rg,rg -n [A-Z]+_RESUME,0.13582563400268555,2160,
linux_re_literal_suffix,1,3,rg,rg -n [A-Z]+_RESUME,0.14550042152404785,2160,
linux_re_literal_suffix,1,3,rg,rg -n [A-Z]+_RESUME,0.15838956832885742,2160,
linux_re_literal_suffix,1,3,ag,ag -s [A-Z]+_RESUME,0.8411047458648682,2160,
linux_re_literal_suffix,1,3,ag,ag -s [A-Z]+_RESUME,0.9613730907440186,2160,
linux_re_literal_suffix,1,3,ag,ag -s [A-Z]+_RESUME,0.9630684852600098,2160,
linux_re_literal_suffix,1,3,git grep,git grep -E -I -n [A-Z]+_RESUME,1.666944980621338,2160,LC_ALL=C
linux_re_literal_suffix,1,3,git grep,git grep -E -I -n [A-Z]+_RESUME,1.625967264175415,2160,LC_ALL=C
linux_re_literal_suffix,1,3,git grep,git grep -E -I -n [A-Z]+_RESUME,1.5882229804992676,2160,LC_ALL=C
linux_re_literal_suffix,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n [A-Z]+_RESUME ./,1.2444262504577637,2160,
linux_re_literal_suffix,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n [A-Z]+_RESUME ./,1.2460994720458984,2160,
linux_re_literal_suffix,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n [A-Z]+_RESUME ./,1.2283265590667725,2160,
linux_word,1,3,rg,rg -n -w PM_RESUME,0.1481611728668213,9,
linux_word,1,3,rg,rg -n -w PM_RESUME,0.16188359260559082,9,
linux_word,1,3,rg,rg -n -w PM_RESUME,0.15390992164611816,9,
linux_word,1,3,ag,ag -s -w PM_RESUME,0.6687555313110352,9,
linux_word,1,3,ag,ag -s -w PM_RESUME,0.6958322525024414,9,
linux_word,1,3,ag,ag -s -w PM_RESUME,0.687800407409668,9,
linux_word,1,3,git grep,git grep -E -I -n -w PM_RESUME,0.35111117362976074,9,LC_ALL=C
linux_word,1,3,git grep,git grep -E -I -n -w PM_RESUME,0.3424546718597412,9,LC_ALL=C
linux_word,1,3,git grep,git grep -E -I -n -w PM_RESUME,0.34557104110717773,9,LC_ALL=C
linux_word,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -w PM_RESUME ./,0.39932990074157715,9,
linux_word,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -w PM_RESUME ./,0.4335622787475586,9,
linux_word,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -w PM_RESUME ./,0.41967034339904785,9,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},0.31798315048217773,105,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},0.31452178955078125,105,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},0.3101766109466553,105,
linux_unicode_greek,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \p{Greek} ./,0.4586677551269531,105,
linux_unicode_greek,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \p{Greek} ./,0.4586026668548584,105,
linux_unicode_greek,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \p{Greek} ./,0.4589111804962158,105,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},0.31922006607055664,245,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},0.2878425121307373,245,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},0.2990589141845703,245,
linux_unicode_greek_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i \p{Greek} ./,0.4570963382720947,105,
linux_unicode_greek_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i \p{Greek} ./,0.46613502502441406,105,
linux_unicode_greek_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i \p{Greek} ./,0.4558439254760742,105,
linux_unicode_word,1,3,rg,rg -n \wAh,0.14832615852355957,247,
linux_unicode_word,1,3,rg,rg -n \wAh,0.1558837890625,247,
linux_unicode_word,1,3,rg,rg -n \wAh,0.1564033031463623,247,
linux_unicode_word,1,3,rg (ASCII),rg -n (?-u)\wAh,0.16048288345336914,233,
linux_unicode_word,1,3,rg (ASCII),rg -n (?-u)\wAh,0.15600180625915527,233,
linux_unicode_word,1,3,rg (ASCII),rg -n (?-u)\wAh,0.15630245208740234,233,
linux_unicode_word,1,3,ag (ASCII),ag -s \wAh,0.7027177810668945,233,
linux_unicode_word,1,3,ag (ASCII),ag -s \wAh,0.6601696014404297,233,
linux_unicode_word,1,3,ag (ASCII),ag -s \wAh,0.6697001457214355,233,
linux_unicode_word,1,3,git grep,git grep -E -I -n \wAh,9.235580921173096,247,LC_ALL=en_US.UTF-8
linux_unicode_word,1,3,git grep,git grep -E -I -n \wAh,9.471720218658447,247,LC_ALL=en_US.UTF-8
linux_unicode_word,1,3,git grep,git grep -E -I -n \wAh,9.160300731658936,247,LC_ALL=en_US.UTF-8
linux_unicode_word,1,3,git grep (ASCII),git grep -E -I -n \wAh,3.3539505004882812,233,LC_ALL=C
linux_unicode_word,1,3,git grep (ASCII),git grep -E -I -n \wAh,3.2500832080841064,233,LC_ALL=C
linux_unicode_word,1,3,git grep (ASCII),git grep -E -I -n \wAh,3.339545488357544,233,LC_ALL=C
linux_unicode_word,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \wAh ./,0.4598054885864258,247,
linux_unicode_word,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \wAh ./,0.47153186798095703,247,
linux_unicode_word,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \wAh ./,0.4601931571960449,247,
linux_unicode_word,1,3,ugrep (ASCII),ugrep -r --ignore-files --no-hidden -I -n -U \wAh ./,0.4580209255218506,233,
linux_unicode_word,1,3,ugrep (ASCII),ugrep -r --ignore-files --no-hidden -I -n -U \wAh ./,0.4566614627838135,233,
linux_unicode_word,1,3,ugrep (ASCII),ugrep -r --ignore-files --no-hidden -I -n -U \wAh ./,0.4598824977874756,233,
linux_no_literal,1,3,rg,rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},0.49109363555908203,721,
linux_no_literal,1,3,rg,rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},0.46110010147094727,721,
linux_no_literal,1,3,rg,rg -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},0.469590425491333,721,
linux_no_literal,1,3,rg (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},0.3202073574066162,720,
linux_no_literal,1,3,rg (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},0.3126406669616699,720,
linux_no_literal,1,3,rg (ASCII),rg -n (?-u)\w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},0.3176448345184326,720,
linux_no_literal,1,3,ag (ASCII),ag -s \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.620185375213623,1134,
linux_no_literal,1,3,ag (ASCII),ag -s \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.6092135906219482,1134,
linux_no_literal,1,3,ag (ASCII),ag -s \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},1.6299021244049072,1134,
linux_no_literal,1,3,git grep,git grep -E -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},18.218801975250244,721,LC_ALL=en_US.UTF-8
linux_no_literal,1,3,git grep,git grep -E -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},18.553818225860596,721,LC_ALL=en_US.UTF-8
linux_no_literal,1,3,git grep,git grep -E -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},18.420274257659912,721,LC_ALL=en_US.UTF-8
linux_no_literal,1,3,git grep (ASCII),git grep -E -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},4.535669803619385,720,LC_ALL=C
linux_no_literal,1,3,git grep (ASCII),git grep -E -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},4.443039178848267,720,LC_ALL=C
linux_no_literal,1,3,git grep (ASCII),git grep -E -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5},4.5189008712768555,720,LC_ALL=C
linux_no_literal,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} ./,8.553267240524292,723,
linux_no_literal,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} ./,8.747691631317139,723,
linux_no_literal,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} ./,8.571622371673584,723,
linux_no_literal,1,3,ugrep (ASCII),ugrep -r --ignore-files --no-hidden -I -n -U \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} ./,0.7091319561004639,722,
linux_no_literal,1,3,ugrep (ASCII),ugrep -r --ignore-files --no-hidden -I -n -U \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} ./,0.7064254283905029,722,
linux_no_literal,1,3,ugrep (ASCII),ugrep -r --ignore-files --no-hidden -I -n -U \w{5}\s+\w{5}\s+\w{5}\s+\w{5}\s+\w{5} ./,0.6985249519348145,722,
linux_alternates,1,3,rg,rg -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.16266870498657227,140,
linux_alternates,1,3,rg,rg -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.16394996643066406,140,
linux_alternates,1,3,rg,rg -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.1618192195892334,140,
linux_alternates,1,3,ag,ag -s ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.7040619850158691,140,
linux_alternates,1,3,ag,ag -s ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.6497397422790527,140,
linux_alternates,1,3,ag,ag -s ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.6982619762420654,140,
linux_alternates,1,3,git grep,git grep -E -I -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.6392655372619629,140,LC_ALL=C
linux_alternates,1,3,git grep,git grep -E -I -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.6675727367401123,140,LC_ALL=C
linux_alternates,1,3,git grep,git grep -E -I -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.6618309020996094,140,LC_ALL=C
linux_alternates,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT ./,0.4595606327056885,140,
linux_alternates,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT ./,0.4505350589752197,140,
linux_alternates,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT ./,0.41654062271118164,140,
linux_alternates_casei,1,3,rg,rg -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.23617267608642578,241,
linux_alternates_casei,1,3,rg,rg -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.23826932907104492,241,
linux_alternates_casei,1,3,rg,rg -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.23607611656188965,241,
linux_alternates_casei,1,3,ag,ag -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.0528409481048584,241,
linux_alternates_casei,1,3,ag,ag -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.0348162651062012,241,
linux_alternates_casei,1,3,ag,ag -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,0.962864875793457,241,
linux_alternates_casei,1,3,git grep,git grep -E -I -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.4025554656982422,241,LC_ALL=C
linux_alternates_casei,1,3,git grep,git grep -E -I -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.394456148147583,241,LC_ALL=C
linux_alternates_casei,1,3,git grep,git grep -E -I -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT,1.422410249710083,241,LC_ALL=C
linux_alternates_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT ./,0.4504661560058594,241,
linux_alternates_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT ./,0.4509274959564209,241,
linux_alternates_casei,1,3,ugrep,ugrep -r --ignore-files --no-hidden -I -n -i ERR_SYS|PME_TURN_OFF|LINK_REQ_RST|CFG_BME_EVT ./,0.45736217498779297,241,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,17.42140793800354,5115,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,15.786866664886475,5115,
subtitles_en_literal,1,3,rg,rg Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,14.588768243789673,5115,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,6.980948448181152,5115,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,6.884750843048096,5115,
subtitles_en_literal,1,3,rg (no mmap),rg --no-mmap Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,7.09208607673645,5115,
subtitles_en_literal,1,3,grep,grep Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,9.102542638778687,5115,LC_ALL=C
subtitles_en_literal,1,3,grep,grep Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,9.115084886550903,5115,LC_ALL=C
subtitles_en_literal,1,3,grep,grep Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,9.058935642242432,5115,LC_ALL=C
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,11.058066129684448,5115,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,13.736332893371582,5115,
subtitles_en_literal,1,3,rg (lines),rg -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,16.915553092956543,5115,
subtitles_en_literal,1,3,ag (lines),ag -s Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,39.97553062438965,5115,
subtitles_en_literal,1,3,ag (lines),ag -s Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,42.175275564193726,5115,
subtitles_en_literal,1,3,ag (lines),ag -s Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,42.17002820968628,5115,
subtitles_en_literal,1,3,grep (lines),grep -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,12.954908609390259,5115,LC_ALL=C
subtitles_en_literal,1,3,grep (lines),grep -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,12.918932437896729,5115,LC_ALL=C
subtitles_en_literal,1,3,grep (lines),grep -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,12.894439220428467,5115,LC_ALL=C
subtitles_en_literal,1,3,ugrep (lines),ugrep -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,9.118571758270264,5115,
subtitles_en_literal,1,3,ugrep (lines),ugrep -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,9.100003957748413,5115,
subtitles_en_literal,1,3,ugrep (lines),ugrep -n Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,9.118363618850708,5115,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,17.103635787963867,5291,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,13.927295684814453,5291,
subtitles_en_literal_casei,1,3,rg,rg -i Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,14.518014907836914,5291,
subtitles_en_literal_casei,1,3,grep,grep -i Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,19.64836621284485,5291,LC_ALL=en_US.UTF-8
subtitles_en_literal_casei,1,3,grep,grep -i Sherlock Holmes rg-benchsuite-data/subtitles/en.sample.txt,20.231295347213745,5291,LC_ALL=en_US.UTF-8
